MetaTest/Average/SuccessRate,MetaTest/box-close-v1/SuccessRate,MetaTest/box-close-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/box-close-v1/StdReturn,MetaTest/Average/Iteration,MetaTrain/Average/QfLoss,MetaTest/box-close-v1/TerminationRate,MetaTest/box-close-v1/MinReturn,TotalEnvSteps,MetaTest/Average/NumTrajs,MetaTrain/Average/ContrastiveLoss,MetaTest/box-close-v1/Iteration,MetaTest/Average/MaxReturn,MetaTest/box-close-v1/AverageReturn,MetaTest/box-close-v1/NumTrajs,MetaTrain/Average/AlphaLoss,MetaTest/Average/StdReturn,MetaTrain/Average/Alpha,MetaTest/Average/MinReturn,MetaTest/box-close-v1/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss
0.0,0.0,-10.518720659498706,-15.266721433941399,0.0,-15.266721433941408,2.0403451737097726,0,3.9819643,0.0,-19.076437132567,224000,10,8.094635,0,-10.518720659498706,-15.266721433941408,10,6.7257547,2.0403451737097726,nan,-19.076437132567,-15.266721433941399,-4.3418994
0.0,0.0,-12.503987620607269,-13.462011611320275,0.0,-13.462011611320275,0.7498515539663588,1,6.395414,0.0,-14.490367833652217,248000,10,7.858546,1,-12.503987620607269,-13.462011611320275,10,6.695956,0.7498515539663588,nan,-14.490367833652217,-13.462011611320275,-5.648425
0.0,0.0,-12.094808830288724,-12.769768039454224,0.0,-12.769768039454224,0.4448247854117946,2,10.961998,0.0,-13.42490640992436,272000,10,7.627747,2,-12.094808830288724,-12.769768039454224,10,6.6405044,0.4448247854117946,nan,-13.42490640992436,-12.769768039454224,-9.240252
0.0,0.0,-10.502496000945458,-11.405332866300153,0.0,-11.405332866300157,0.5983682219576109,3,16.541374,0.0,-12.529451909882802,296000,10,7.626829,3,-10.502496000945458,-11.405332866300157,10,6.5701737,0.5983682219576109,nan,-12.529451909882802,-11.405332866300153,-13.721644
0.0,0.0,-4.32171573054238,-5.583586181773091,0.0,-5.583586181773093,0.8616668359642451,4,22.486954,0.0,-6.8204169334110265,320000,10,7.5213876,4,-4.32171573054238,-5.583586181773093,10,6.4963155,0.8616668359642451,nan,-6.8204169334110265,-5.583586181773091,-19.920897
0.0,0.0,-3.9410336316183803,-4.431822489140531,0.0,-4.431822489140533,0.4738272882799686,5,28.656912,0.0,-5.257435510608241,344000,10,7.4749455,5,-3.9410336316183803,-4.431822489140533,10,6.426892,0.4738272882799686,nan,-5.257435510608241,-4.431822489140531,-28.40357
0.0,0.0,-1.4942013244439865,-1.9767992236226308,0.0,-1.9767992236226308,0.2879498564277485,6,34.547226,0.0,-2.470771246185079,368000,10,7.456744,6,-1.4942013244439865,-1.9767992236226308,10,6.3668528,0.2879498564277485,nan,-2.470771246185079,-1.9767992236226308,-37.096127
0.0,0.0,-2.0160181842650124,-2.6660425948610937,0.0,-2.6660425948610937,0.3901767970129461,7,41.145584,0.0,-3.2275117598566596,392000,10,7.5844874,7,-2.0160181842650124,-2.6660425948610937,10,6.3146133,0.3901767970129461,nan,-3.2275117598566596,-2.6660425948610937,-46.586075
0.0,0.0,-3.0946221962032046,-3.8716445950920653,0.0,-3.8716445950920657,0.43762047721737163,8,45.58352,0.0,-4.402261229542943,416000,10,7.5298367,8,-3.0946221962032046,-3.8716445950920657,10,6.2759237,0.43762047721737163,nan,-4.402261229542943,-3.8716445950920653,-56.050053
0.0,0.0,-3.001910545303291,-3.73997741702698,0.0,-3.739977417026979,0.5239194095514608,9,51.003113,0.0,-4.829751278308453,440000,10,7.504246,9,-3.001910545303291,-3.739977417026979,10,6.2459383,0.5239194095514608,nan,-4.829751278308453,-3.73997741702698,-65.53318
0.0,0.0,-3.241358557564442,-3.865997718029046,0.0,-3.865997718029046,0.47661195042980753,10,54.214973,0.0,-4.540957209417102,464000,10,7.601869,10,-3.241358557564442,-3.865997718029046,10,6.2258215,0.47661195042980753,nan,-4.540957209417102,-3.865997718029046,-75.89052
0.0,0.0,-3.7003159731824526,-4.4861973282633665,0.0,-4.4861973282633665,0.6256939070211244,11,55.009,0.0,-5.798618912356138,488000,10,7.6800985,11,-3.7003159731824526,-4.4861973282633665,10,6.2204804,0.6256939070211244,nan,-5.798618912356138,-4.4861973282633665,-85.56514
0.0,0.0,-3.385366917481253,-4.245643987274175,0.0,-4.245643987274174,0.6222717720625979,12,56.518837,0.0,-5.212720250257672,512000,10,7.661676,12,-3.385366917481253,-4.245643987274174,10,6.209342,0.6222717720625979,nan,-5.212720250257672,-4.245643987274175,-92.68589
0.0,0.0,-4.37127009636574,-5.442293617118119,0.0,-5.4422936171181195,0.6849459784099463,13,57.46372,0.0,-6.641212655493297,536000,10,7.6515865,13,-4.37127009636574,-5.4422936171181195,10,6.204133,0.6849459784099463,nan,-6.641212655493297,-5.442293617118119,-99.20228
0.0,0.0,-2.772804852163849,-3.90212070087541,0.0,-3.90212070087541,1.0725849830119158,14,57.156673,0.0,-6.46574007804675,560000,10,7.7159443,14,-2.772804852163849,-3.90212070087541,10,6.210419,1.0725849830119158,nan,-6.46574007804675,-3.90212070087541,-106.136475
0.0,0.0,-2.897442375460554,-3.5545395196693534,0.0,-3.554539519669354,0.4732927510717812,15,56.035698,0.0,-4.735901581284564,584000,10,7.8560166,15,-2.897442375460554,-3.554539519669354,10,6.218045,0.4732927510717812,nan,-4.735901581284564,-3.5545395196693534,-112.71886
0.0,0.0,-3.2127565805918836,-4.682231244210581,0.0,-4.682231244210582,1.2778883419807174,16,57.088005,0.0,-7.7188243045832445,608000,10,8.126169,16,-3.2127565805918836,-4.682231244210582,10,6.219648,1.2778883419807174,nan,-7.7188243045832445,-4.682231244210581,-117.79176
0.0,0.0,-2.6057001096061674,-3.656280117873088,0.0,-3.6562801178730866,0.6859333111647369,17,56.812695,0.0,-4.5994303743426395,632000,10,7.632865,17,-2.6057001096061674,-3.6562801178730866,10,6.229711,0.6859333111647369,nan,-4.5994303743426395,-3.656280117873088,-122.75067
0.0,0.0,-2.3738624639759114,-3.739384521957124,0.0,-3.739384521957124,0.9691783440086559,18,56.919434,0.0,-5.47797655817358,656000,10,7.6592,18,-2.3738624639759114,-3.739384521957124,10,6.2358036,0.9691783440086559,nan,-5.47797655817358,-3.739384521957124,-127.148575
0.0,0.0,-2.3691956459091745,-4.069135160505295,0.0,-4.069135160505294,1.1540810831162964,19,56.219936,0.0,-5.981208104207816,680000,10,8.020066,19,-2.3691956459091745,-4.069135160505294,10,6.2415233,1.1540810831162964,nan,-5.981208104207816,-4.069135160505295,-131.63258
0.0,0.0,-4.026850094600496,-4.820028983300221,0.0,-4.820028983300221,0.6864907980624746,20,55.24739,0.0,-6.123220715112485,704000,10,7.9132705,20,-4.026850094600496,-4.820028983300221,10,6.24758,0.6864907980624746,nan,-6.123220715112485,-4.820028983300221,-135.48276
0.0,0.0,-2.1872653265897597,-3.0737486035701527,0.0,-3.0737486035701522,0.7585433119854522,21,55.243923,0.0,-4.806664536660915,728000,10,7.851839,21,-2.1872653265897597,-3.0737486035701522,10,6.250794,0.7585433119854522,nan,-4.806664536660915,-3.0737486035701527,-138.48553
0.0,0.0,-1.3367115490793327,-2.504814851186701,0.0,-2.504814851186701,1.209449051086884,22,55.46066,0.0,-4.807710428053513,752000,10,7.63994,22,-1.3367115490793327,-2.504814851186701,10,6.256,1.209449051086884,nan,-4.807710428053513,-2.504814851186701,-141.2523
0.0,0.0,-1.1625488527321775,-2.63170318080886,0.0,-2.6317031808088593,1.000297346510111,23,55.57155,0.0,-3.7094993469860733,776000,10,7.6855564,23,-1.1625488527321775,-2.6317031808088593,10,6.2626824,1.000297346510111,nan,-3.7094993469860733,-2.63170318080886,-143.58444
0.0,0.0,-2.559703473890284,-4.019983974619501,0.0,-4.0199839746195,1.3217082927699042,24,54.40289,0.0,-5.593856171647246,800000,10,8.451593,24,-2.559703473890284,-4.0199839746195,10,6.270994,1.3217082927699042,nan,-5.593856171647246,-4.019983974619501,-146.04082
0.0,0.0,-2.665041757235018,-3.550271318113828,0.0,-3.550271318113828,0.45786529373985274,25,53.59343,0.0,-4.378009113893816,824000,10,7.914612,25,-2.665041757235018,-3.550271318113828,10,6.2795067,0.45786529373985274,nan,-4.378009113893816,-3.550271318113828,-148.19968
0.0,0.0,-2.716785741725676,-3.411045580691365,0.0,-3.411045580691365,0.5684605643017365,26,53.314655,0.0,-4.305922542320519,848000,10,7.6401067,26,-2.716785741725676,-3.411045580691365,10,6.2884707,0.5684605643017365,nan,-4.305922542320519,-3.411045580691365,-150.38388
0.0,0.0,-3.2731009330334855,-4.1034951577548835,0.0,-4.1034951577548835,0.6492243822576294,27,52.340313,0.0,-5.42881136761716,872000,10,7.984794,27,-3.2731009330334855,-4.1034951577548835,10,6.2933965,0.6492243822576294,nan,-5.42881136761716,-4.1034951577548835,-151.32329
0.0,0.0,-1.9571995300757028,-2.72236202789845,0.0,-2.7223620278984497,0.7875060576729225,28,52.453083,0.0,-4.078937416851038,896000,10,8.0239105,28,-1.9571995300757028,-2.7223620278984497,10,6.2992716,0.7875060576729225,nan,-4.078937416851038,-2.72236202789845,-152.21999
0.0,0.0,-2.4859583122240023,-2.9743719737392778,0.0,-2.9743719737392764,0.5256487520255303,29,51.375053,0.0,-4.102875362224665,920000,10,8.0317545,29,-2.4859583122240023,-2.9743719737392764,10,6.3049245,0.5256487520255303,nan,-4.102875362224665,-2.9743719737392778,-153.42104
0.0,0.0,-1.414216283649578,-2.008678596270456,0.0,-2.0086785962704563,0.4836897850345867,30,50.57561,0.0,-3.2042781645475595,944000,10,8.055817,30,-1.414216283649578,-2.0086785962704563,10,6.309987,0.4836897850345867,nan,-3.2042781645475595,-2.008678596270456,-154.19176
0.0,0.0,-3.1548450101814978,-4.094273529433962,0.0,-4.094273529433963,0.6596087060610512,31,54.120827,0.0,-5.436953129369926,968000,10,8.040209,31,-3.1548450101814978,-4.094273529433963,10,6.3120246,0.6596087060610512,nan,-5.436953129369926,-4.094273529433962,-154.37874
0.0,0.0,-2.8059472273698334,-4.3269300459849385,0.0,-4.326930045984939,1.5360374941027897,32,55.115383,0.0,-7.171098033744117,992000,10,8.426099,32,-2.8059472273698334,-4.326930045984939,10,6.3073273,1.5360374941027897,nan,-7.171098033744117,-4.3269300459849385,-154.87885
0.0,0.0,-3.9480647462683787,-5.171985961246016,0.0,-5.171985961246016,0.7281724983528786,33,60.79915,0.0,-6.399254485575826,1016000,10,7.8949733,33,-3.9480647462683787,-5.171985961246016,10,6.3006854,0.7281724983528786,nan,-6.399254485575826,-5.171985961246016,-155.59056
0.0,0.0,-3.212530248629638,-4.089903723185091,0.0,-4.089903723185093,0.4631724545936587,34,89.01841,0.0,-4.837656964725333,1040000,10,7.635923,34,-3.212530248629638,-4.089903723185093,10,6.243917,0.4631724545936587,nan,-4.837656964725333,-4.089903723185091,-155.15915
0.0,0.0,122.39337849106683,6.770281109272527,0.0,6.770281109272519,38.582178633631386,35,184.51193,0.0,-10.194788000017542,1064000,10,7.635089,35,122.39337849106683,6.770281109272519,10,6.102835,38.582178633631386,nan,-10.194788000017542,6.770281109272527,-153.10419
0.0,0.0,-2.288000308029251,-14.668487647685264,0.0,-14.668487647685271,13.006848969562022,36,466.69348,0.0,-33.473166211493854,1088000,10,8.238932,36,-2.288000308029251,-14.668487647685271,10,6.0365233,13.006848969562022,nan,-33.473166211493854,-14.668487647685264,-148.73515
0.0,0.0,-27.320883622880817,-32.37946964523856,0.0,-32.37946964523855,2.7541761918248,37,1818.3733,0.0,-37.00735234459838,1112000,10,7.6526976,37,-27.320883622880817,-32.37946964523855,10,5.9258065,2.7541761918248,nan,-37.00735234459838,-32.37946964523856,-149.31018
0.0,0.0,-27.313215926474516,-55.769391657210576,0.0,-55.76939165721056,25.258684011468148,38,9693.576,0.0,-87.10799573821254,1136000,10,7.626288,38,-27.313215926474516,-55.76939165721056,10,5.9095845,25.258684011468148,nan,-87.10799573821254,-55.769391657210576,-158.32562
0.0,0.0,-43.743145674111794,-64.14364983656229,0.0,-64.14364983656229,16.628947238504917,39,33671.883,0.0,-88.12371670732634,1160000,10,7.6788692,39,-43.743145674111794,-64.14364983656229,10,4.6785455,16.628947238504917,nan,-88.12371670732634,-64.14364983656229,-178.85596
0.0,0.0,-51.21743878728943,-104.62481316534554,0.0,-104.6248131653455,23.852299354368874,40,112072.31,0.0,-130.0300907412179,1184000,10,8.09457,40,-51.21743878728943,-104.6248131653455,10,1.0442383,23.852299354368874,nan,-130.0300907412179,-104.62481316534554,-356.36642
0.0,0.0,-55.98923372529916,-76.52918190057626,0.0,-76.52918190057628,22.643026016430237,41,294354.06,0.0,-113.42983388212956,1208000,10,41.656776,41,-55.98923372529916,-76.52918190057628,10,-4.7253623,22.643026016430237,nan,-113.42983388212956,-76.52918190057626,-835.4902
0.0,0.0,-48.15909381525865,-136.4573889049762,0.0,-136.45738890497623,33.61872723388434,42,706964.4,0.0,-171.48695460163518,1232000,10,51.89856,42,-48.15909381525865,-136.45738890497623,10,-4.9976854,33.61872723388434,nan,-171.48695460163518,-136.4573889049762,-1403.779
0.0,0.0,83.04505429914065,-48.7100462923388,0.0,-48.71004629233879,75.65248266236895,43,1887298.4,0.0,-140.1876942595466,1256000,10,42.004833,43,83.04505429914065,-48.71004629233879,10,-9.780435,75.65248266236895,nan,-140.1876942595466,-48.7100462923388,-2342.1167
0.0,0.0,-135.6052490255586,-152.9970931939178,0.0,-152.9970931939177,7.54671779864015,44,4936338.5,0.0,-163.58906362300178,1280000,10,62.1942,44,-135.6052490255586,-152.9970931939177,10,-16.308615,7.54671779864015,nan,-163.58906362300178,-152.9970931939178,-4986.256
0.0,0.0,-51.449908555015256,-127.82583899702047,0.0,-127.82583899702043,29.93670959990485,45,8396876.0,0.0,-160.17233200873574,1304000,10,238.70534,45,-51.449908555015256,-127.82583899702043,10,-23.33223,29.93670959990485,nan,-160.17233200873574,-127.82583899702047,-5705.5015
0.0,0.0,-122.41176056798245,-151.94610374190728,0.0,-151.94610374190722,10.4930469649401,46,13974709.0,0.0,-160.53562619689376,1328000,10,952.84717,46,-122.41176056798245,-151.94610374190722,10,-19.901833,10.4930469649401,nan,-160.53562619689376,-151.94610374190728,-8068.5244
0.0,0.0,-16.060772745019364,-122.74094698374431,0.0,-122.74094698374434,43.86065646756407,47,79263920.0,0.0,-161.64842635166667,1352000,10,1859.8812,47,-16.060772745019364,-122.74094698374434,10,-26.682878,43.86065646756407,nan,-161.64842635166667,-122.74094698374431,-90272.2
