MetaTest/faucet-close-v1/Iteration,MetaTest/Average/Iteration,MetaTest/faucet-close-v1/TerminationRate,TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,MetaTest/faucet-close-v1/AverageDiscountedReturn,MetaTest/faucet-close-v1/MaxReturn,MetaTest/faucet-close-v1/SuccessRate,MetaTest/faucet-close-v1/StdReturn,MetaTest/Average/MinReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/Alpha,MetaTest/Average/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/faucet-close-v1/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/faucet-close-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/faucet-close-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/PolicyLoss
0,0,0.0,224000,-33.81358211687244,6.3527145,-21.081448727851193,10.705058738929662,-33.81358211687244,-21.081448727851193,0.0,10.705058738929662,-54.13754402348623,1143.1206,nan,0.0,10,10,0.0,-33.81358211687243,-33.81358211687243,-54.13754402348623,8.397905,-14.038955
1,1,0.0,248000,-34.08995472336519,5.94896,-20.762787567287155,8.016578496422516,-34.08995472336519,-20.762787567287155,0.1,8.016578496422516,-45.93101561039198,1700.911,nan,0.1,10,10,0.0,-34.08995472336518,-34.08995472336518,-45.93101561039198,7.773672,-54.107906
2,2,0.0,272000,-48.39834569098204,1.9029197,-40.83033962190459,5.501658751963792,-48.39834569098204,-40.83033962190459,0.0,5.501658751963792,-59.578717177373704,23888.502,nan,0.0,10,10,0.0,-48.39834569098204,-48.39834569098204,-59.578717177373704,12.564796,-573.66656
3,3,0.0,296000,55.45208634951562,-6.376792,927.2736229690256,290.6243201707213,55.45208634951562,927.2736229690256,0.0,290.6243201707213,-48.43305224468624,79175.97,nan,0.0,10,10,0.0,55.45208634951565,55.45208634951565,-48.43305224468624,15.6434555,-4834.983
4,4,0.0,320000,162.43454170218052,2.1647682,1540.824404607816,511.7901949317284,162.43454170218052,1540.824404607816,0.0,511.7901949317284,-89.52732877578472,190921.89,nan,0.0,10,10,0.0,162.4345417021805,162.4345417021805,-89.52732877578472,2639.65,491.84186
5,5,0.0,344000,-62.65311169807298,2.9127579,-31.791234964887522,19.058998685509433,-62.65311169807298,-31.791234964887522,0.0,19.058998685509433,-88.98983533184246,36857.395,nan,0.0,10,10,0.0,-62.65311169807296,-62.65311169807296,-88.98983533184246,1219.2698,422.25732
6,6,0.0,368000,-51.65667362253598,0.8720774,350.8617663238666,134.72496954139808,-51.65667362253598,350.8617663238666,0.0,134.72496954139808,-110.39229120723218,51634.434,nan,0.0,10,10,0.0,-51.65667362253593,-51.65667362253593,-110.39229120723218,118.46611,-48.865368
7,7,0.0,392000,3439.223286042915,-1.6546955,31055.74262633303,9216.229426614216,3439.223286042915,31055.74262633303,0.1,9216.229426614216,-88.64256105793127,70622.336,nan,0.1,10,10,0.0,3439.2232860429153,3439.2232860429153,-88.64256105793127,135.10497,-1205.4764
8,8,0.0,416000,427.2997481016794,-3.6235626,1365.6213634502406,616.7684445592271,427.2997481016794,1365.6213634502406,0.1,616.7684445592271,-31.79285574544643,109140.664,nan,0.1,10,10,0.0,427.2997481016795,427.2997481016795,-31.79285574544643,251.66718,-1042.6482
9,9,0.0,440000,6637.856206085165,-5.506334,37494.33459708707,11818.63090938862,6637.856206085165,37494.33459708707,0.0,11818.63090938862,-58.79801046092405,178740.58,nan,0.0,10,10,0.0,6637.856206085164,6637.856206085164,-58.79801046092405,305.75354,-1612.9823
10,10,0.0,464000,7226.0614555537995,-7.721419,28348.31813785211,10913.976208672342,7226.0614555537995,28348.31813785211,0.2,10913.976208672342,-46.10637185804145,555441.5,nan,0.2,10,10,0.0,7226.0614555537995,7226.0614555537995,-46.10637185804145,251.28943,-4319.782
11,11,0.0,488000,7448.039137455836,-10.515107,29888.724760310157,10105.492189395703,7448.039137455836,29888.724760310157,0.0,10105.492189395703,-124.36664988228527,1147059.5,nan,0.0,10,10,0.0,7448.0391374558385,7448.0391374558385,-124.36664988228527,145.24132,-9236.562
12,12,0.0,512000,12134.24558563485,-9.113072,35831.48841396483,12886.225595784235,12134.24558563485,35831.48841396483,0.0,12886.225595784235,-53.51172698713736,888560.0,nan,0.0,10,10,0.0,12134.245585634853,12134.245585634853,-53.51172698713736,2048.5884,-7728.956
13,13,0.0,536000,8393.160191169647,-11.011773,17844.67860225067,6148.189652083425,8393.160191169647,17844.67860225067,0.0,6148.189652083425,-48.45185694848806,1829582.1,nan,0.0,10,10,0.0,8393.160191169647,8393.160191169647,-48.45185694848806,772.3336,-19913.523
14,14,0.0,560000,7461.93423890848,-11.19323,21921.6013615133,7045.1151461847685,7461.93423890848,21921.6013615133,0.2,7045.1151461847685,-27.265826335734314,2480136.2,nan,0.2,10,10,0.0,7461.934238908482,7461.934238908482,-27.265826335734314,242.69884,-25062.668
15,15,0.0,584000,11062.488360555286,-11.127873,34498.590469894356,11787.33051747526,11062.488360555286,34498.590469894356,0.1,11787.33051747526,-35.98129405697547,3061043.8,nan,0.1,10,10,0.0,11062.48836055528,11062.48836055528,-35.98129405697547,376.61288,-24881.836
16,16,0.0,608000,10892.25766607423,-11.640995,45517.310280748075,14222.423983232082,10892.25766607423,45517.310280748075,0.1,14222.423983232082,-39.01511868151227,4151336.8,nan,0.1,10,10,0.0,10892.257666074227,10892.257666074227,-39.01511868151227,112.56745,-25397.94
17,17,0.0,632000,10102.340145740483,-10.217258,21342.128078153568,8607.872734243494,10102.340145740483,21342.128078153568,0.0,8607.872734243494,-59.22368643568128,5819840.5,nan,0.0,10,10,0.0,10102.340145740489,10102.340145740489,-59.22368643568128,111.53129,-25665.416
18,18,0.0,656000,4874.375159628236,-8.99502,12801.722090628908,4878.803524525759,4874.375159628236,12801.722090628908,0.0,4878.803524525759,-79.24534529923817,7984153.5,nan,0.0,10,10,0.0,4874.375159628235,4874.375159628235,-79.24534529923817,78.80874,-26744.629
19,19,0.0,680000,22495.902036873547,-10.106177,84551.24244732138,24809.698166905146,22495.902036873547,84551.24244732138,0.1,24809.698166905146,-57.76856817380068,10970046.0,nan,0.1,10,10,0.0,22495.902036873547,22495.902036873547,-57.76856817380068,80.09328,-28830.266
20,20,0.0,704000,12773.327812063526,-11.655603,21014.514026363475,7100.966982714791,12773.327812063526,21014.514026363475,0.1,7100.966982714791,-54.34967178487506,14467542.0,nan,0.1,10,10,0.0,12773.32781206352,12773.32781206352,-54.34967178487506,83.34397,-31261.396
21,21,0.0,728000,11587.54828592378,-13.110921,22074.730966638625,5661.575295537285,11587.54828592378,22074.730966638625,0.2,5661.575295537285,-73.62879432059442,17357422.0,nan,0.2,10,10,0.0,11587.54828592378,11587.54828592378,-73.62879432059442,85.60028,-33762.625
22,22,0.0,752000,10129.901787504483,-12.703225,15804.327016343756,4822.377323590789,10129.901787504483,15804.327016343756,0.0,4822.377323590789,-46.04773553707958,19375706.0,nan,0.0,10,10,0.0,10129.901787504485,10129.901787504485,-46.04773553707958,84.15267,-37715.176
23,23,0.0,776000,10429.190307110637,-12.296258,15778.12764165228,4975.554064438766,10429.190307110637,15778.12764165228,0.0,4975.554064438766,-66.7867488788198,21507294.0,nan,0.0,10,10,0.0,10429.19030711064,10429.19030711064,-66.7867488788198,99.03617,-40718.312
24,24,0.0,800000,13204.223529760406,-12.42302,28603.06120287151,8819.680420184663,13204.223529760406,28603.06120287151,0.0,8819.680420184663,-55.097965533083524,23382378.0,nan,0.0,10,10,0.0,13204.223529760402,13204.223529760402,-55.097965533083524,111.48124,-42202.613
25,25,0.0,824000,15043.278191145098,-12.226869,23241.205401505937,4337.30465553629,15043.278191145098,23241.205401505937,0.0,4337.30465553629,7992.359957363222,25509258.0,nan,0.0,10,10,0.0,15043.278191145102,15043.278191145102,7992.359957363222,120.210045,-41980.594
26,26,0.0,848000,8349.972592307024,-11.984049,25807.25456353448,8438.248635423397,8349.972592307024,25807.25456353448,0.1,8438.248635423397,-63.98782436234266,29043412.0,nan,0.1,10,10,0.0,8349.972592307025,8349.972592307025,-63.98782436234266,120.24423,-43029.23
27,27,0.0,872000,22411.142085337146,-12.906545,131724.71676097633,37841.51394701137,22411.142085337146,131724.71676097633,0.1,37841.51394701137,-58.32433322884591,29439566.0,nan,0.1,10,10,0.0,22411.142085337153,22411.142085337153,-58.32433322884591,281.6117,-42040.785
28,28,0.0,896000,21135.469139912675,-12.499961,120389.36459742989,34769.13545520346,21135.469139912675,120389.36459742989,0.1,34769.13545520346,-59.29257134033101,32599390.0,nan,0.1,10,10,0.0,21135.469139912664,21135.469139912664,-59.29257134033101,104.25213,-47348.742
29,29,0.0,920000,6081.898278274641,-12.068747,16035.527775250952,6630.751398652086,6081.898278274641,16035.527775250952,0.0,6630.751398652086,-58.267125026040006,36246684.0,nan,0.0,10,10,0.0,6081.898278274638,6081.898278274638,-58.267125026040006,109.2408,-51707.613
30,30,0.0,944000,21458.79886192584,-12.099453,132489.62085750193,37906.75937355175,21458.79886192584,132489.62085750193,0.3,37906.75937355175,-68.54488397698731,41929308.0,nan,0.3,10,10,0.0,21458.798861925858,21458.798861925858,-68.54488397698731,93.43535,-56348.72
31,31,0.0,968000,5200.667478624468,-12.672287,19010.05130764813,8059.778321812912,5200.667478624468,19010.05130764813,0.0,8059.778321812912,-67.74531575880734,48220856.0,nan,0.0,10,10,0.0,5200.6674786244685,5200.6674786244685,-67.74531575880734,80.51694,-58829.016
32,32,0.0,992000,5156.1477602262985,-13.003169,16339.975500670398,6018.852081363914,5156.1477602262985,16339.975500670398,0.0,6018.852081363914,-128.89959220095042,51181148.0,nan,0.0,10,10,0.0,5156.147760226299,5156.147760226299,-128.89959220095042,218.27332,-58166.895
33,33,0.0,1016000,8010.551710430838,-12.301197,29920.853837562456,11156.880454900043,8010.551710430838,29920.853837562456,0.1,11156.880454900043,-70.85027860577182,52715196.0,nan,0.1,10,10,0.0,8010.5517104308365,8010.5517104308365,-70.85027860577182,71.51,-60606.52
34,34,0.0,1040000,3422.6955625969995,-12.989285,15708.370184043475,5784.949511632038,3422.6955625969995,15708.370184043475,0.0,5784.949511632038,-58.490671699782865,52073120.0,nan,0.0,10,10,0.0,3422.6955625970004,3422.6955625970004,-58.490671699782865,89.539375,-59386.84
35,35,0.0,1064000,20314.68360578065,-13.416515,70033.33606244893,22094.505414370313,20314.68360578065,70033.33606244893,0.3,22094.505414370313,-62.9267134504226,51058970.0,nan,0.3,10,10,0.0,20314.683605780636,20314.683605780636,-62.9267134504226,106.833015,-58090.81
36,36,0.0,1088000,5815.472750751474,-13.636186,37408.05557144384,12284.536840427025,5815.472750751474,37408.05557144384,0.2,12284.536840427025,-64.33730609193084,51352490.0,nan,0.2,10,10,0.0,5815.472750751475,5815.472750751475,-64.33730609193084,113.62775,-61156.49
37,37,0.0,1112000,12651.369261362932,-14.37112,54589.85616653153,16646.066507982574,12651.369261362932,54589.85616653153,0.1,16646.066507982574,-54.77289232863782,51305280.0,nan,0.1,10,10,0.0,12651.369261362943,12651.369261362943,-54.77289232863782,121.29228,-62360.008
38,38,0.0,1136000,15391.929299193067,-14.359374,116918.39751959492,34818.432526142846,15391.929299193067,116918.39751959492,0.1,34818.432526142846,-56.9023310241812,49484150.0,nan,0.1,10,10,0.0,15391.929299193062,15391.929299193062,-56.9023310241812,117.80618,-62734.887
39,39,0.0,1160000,13600.45732248429,-14.429699,30423.1665328824,11007.721045775921,13600.45732248429,30423.1665328824,0.1,11007.721045775921,-61.166583771054476,48220210.0,nan,0.1,10,10,0.0,13600.45732248429,13600.45732248429,-61.166583771054476,129.7865,-61158.81
40,40,0.0,1184000,19074.41760533839,-14.897076,46602.32620828363,11103.286514955762,19074.41760533839,46602.32620828363,0.1,11103.286514955762,9640.88068952832,53117420.0,nan,0.1,10,10,0.0,19074.417605338393,19074.417605338393,9640.88068952832,102.168564,-64836.754
41,41,0.0,1208000,26120.89074459461,-15.152945,127929.29306004029,46693.38000538664,26120.89074459461,127929.29306004029,0.2,46693.38000538664,-58.349068231960565,50983396.0,nan,0.2,10,10,0.0,26120.890744594617,26120.890744594617,-58.349068231960565,108.84461,-65610.95
42,42,0.0,1232000,19834.336769193505,-15.373055,113506.24240825305,32416.63251014834,19834.336769193505,113506.24240825305,0.3,32416.63251014834,-63.88287228147262,61571480.0,nan,0.3,10,10,0.0,19834.336769193502,19834.336769193502,-63.88287228147262,82.59812,-71126.44
43,43,0.0,1256000,27485.346783288784,-15.40841,108779.87852162684,36859.33993619341,27485.346783288784,108779.87852162684,0.3,36859.33993619341,-52.21852101851246,59102256.0,nan,0.3,10,10,0.0,27485.346783288776,27485.346783288776,-52.21852101851246,91.37395,-70169.734
44,44,0.0,1280000,6710.536055934201,-15.550041,28597.147400067697,10021.944433333349,6710.536055934201,28597.147400067697,0.1,10021.944433333349,-52.10371145374202,62386880.0,nan,0.1,10,10,0.0,6710.536055934201,6710.536055934201,-52.10371145374202,73.23515,-74294.75
45,45,0.0,1304000,39497.53572639027,-15.871663,125185.90813342386,52327.153274402095,39497.53572639027,125185.90813342386,0.4,52327.153274402095,-44.64180245683267,67346670.0,nan,0.4,10,10,0.0,39497.53572639028,39497.53572639028,-44.64180245683267,61.08698,-79585.086
46,46,0.0,1328000,14139.75434527022,-15.978555,117570.86013499224,34666.25610609227,14139.75434527022,117570.86013499224,0.2,34666.25610609227,-55.28979140421265,78379384.0,nan,0.2,10,10,0.0,14139.754345270232,14139.754345270232,-55.28979140421265,51.68387,-88443.55
47,47,0.0,1352000,9142.083781172281,-16.496832,68624.70668970593,20902.327811919688,9142.083781172281,68624.70668970593,0.1,20902.327811919688,-52.87519384416196,81206850.0,nan,0.1,10,10,0.0,9142.083781172289,9142.083781172289,-52.87519384416196,54.590607,-90484.43
48,48,0.0,1376000,7357.862599552596,-16.923223,35160.46567017019,12031.96142321511,7357.862599552596,35160.46567017019,0.2,12031.96142321511,-56.40423418369013,88720264.0,nan,0.2,10,10,0.0,7357.86259955259,7357.86259955259,-56.40423418369013,52.233574,-96813.234
49,49,0.0,1400000,8896.79181436518,-17.06645,54099.51108759004,16295.219178613355,8896.79181436518,54099.51108759004,0.2,16295.219178613355,-53.54633583889831,88508520.0,nan,0.2,10,10,0.0,8896.791814365182,8896.791814365182,-53.54633583889831,54.37621,-98860.336
50,50,0.0,1424000,27348.744665091428,-17.958368,130724.50729186127,43378.77187857809,27348.744665091428,130724.50729186127,0.2,43378.77187857809,-65.18334595157278,83339520.0,nan,0.2,10,10,0.0,27348.744665091428,27348.744665091428,-65.18334595157278,115.727936,-97952.79
51,51,0.0,1448000,21007.20087952006,-18.078695,131721.69876164102,39461.36065555789,21007.20087952006,131721.69876164102,0.3,39461.36065555789,-52.72019443241157,104143190.0,nan,0.3,10,10,0.0,21007.20087952006,21007.20087952006,-52.72019443241157,96.7655,-106253.42
52,52,0.0,1472000,32302.9726326801,-18.087057,92381.3298365146,36514.81833745552,32302.9726326801,92381.3298365146,0.4,36514.81833745552,-60.15588075559949,116042056.0,nan,0.4,10,10,0.0,32302.972632680117,32302.972632680117,-60.15588075559949,98.48348,-115194.45
53,53,0.0,1496000,23482.4530989046,-18.349747,74271.809304942,28301.577302685502,23482.4530989046,74271.809304942,0.4,28301.577302685502,-62.11469767471474,134237250.0,nan,0.4,10,10,0.0,23482.453098904585,23482.453098904585,-62.11469767471474,134.9552,-116527.22
54,54,0.0,1520000,15384.64713298476,-18.454926,120851.2991389466,36540.953403961896,15384.64713298476,120851.2991389466,0.1,36540.953403961896,-52.15392513421685,1195438300.0,nan,0.1,10,10,0.0,15384.647132984765,15384.647132984765,-52.15392513421685,1920.4248,-124627.516
55,55,0.0,1544000,13518.49604742112,-19.718397,103649.04133210199,31517.059156243366,13518.49604742112,103649.04133210199,0.1,31517.059156243366,-56.73451525744087,256039060.0,nan,0.1,10,10,0.0,13518.496047421122,13518.496047421122,-56.73451525744087,5704.788,-45466.215
56,56,0.0,1568000,-91.90636479468552,-28.816502,-60.467206041398384,15.343130302396066,-91.90636479468552,-60.467206041398384,0.0,15.343130302396066,-110.42457864390107,13276387000.0,nan,0.0,10,10,0.0,-91.90636479468553,-91.90636479468553,-110.42457864390107,63806.348,502531.8
57,57,0.0,1592000,-66.37867450682043,-37.42107,-38.1820585518827,16.63603213814682,-66.37867450682043,-38.1820585518827,0.0,16.63603213814682,-106.94889605392855,38356830.0,nan,0.0,10,10,0.0,-66.37867450682043,-66.37867450682043,-106.94889605392855,57225.434,9953.965
58,58,0.0,1616000,-83.49395675947567,-37.37324,-27.30634053812924,28.40946786208687,-83.49395675947567,-27.30634053812924,0.0,28.40946786208687,-121.08032220750339,19564490.0,nan,0.0,10,10,0.0,-83.4939567594757,-83.4939567594757,-121.08032220750339,46397.992,-11914.462
59,59,0.0,1640000,-77.48535796976246,-35.036015,-26.05778679896463,29.975168451461155,-77.48535796976246,-26.05778679896463,0.0,29.975168451461155,-137.41868054092603,426333760.0,nan,0.0,10,10,0.0,-77.48535796976249,-77.48535796976249,-137.41868054092603,27046.271,55267.84
60,60,0.0,1664000,-71.43233341831301,-29.450565,-46.31184668408486,19.766012859679762,-71.43233341831301,-46.31184668408486,0.0,19.766012859679762,-104.43699408828783,294933500.0,nan,0.0,10,10,0.0,-71.43233341831304,-71.43233341831304,-104.43699408828783,34715.457,386429.8
61,61,0.0,1688000,12434.234330042162,-19.913347,78918.66581612764,23868.456603651604,12434.234330042162,78918.66581612764,0.1,23868.456603651604,-86.89414837119602,18868622.0,nan,0.1,10,10,0.0,12434.234330042167,12434.234330042167,-86.89414837119602,12174.65,-2807.8303
62,62,0.0,1712000,-32.88685703389085,-36.074757,369.4956858744622,136.87484449200107,-32.88685703389085,369.4956858744622,0.0,136.87484449200107,-113.463757926239,693279360.0,nan,0.0,10,10,0.0,-32.88685703389077,-32.88685703389077,-113.463757926239,265916.28,2968576.0
63,63,0.0,1736000,807.715845674025,-33.467766,8514.654469608815,2569.082264540448,807.715845674025,8514.654469608815,0.0,2569.082264540448,-72.0496524328712,22447546.0,nan,0.0,10,10,0.0,807.7158456740244,807.7158456740244,-72.0496524328712,33456.305,922862.75
64,64,0.0,1760000,2173.4563751962414,-24.173227,14840.387298150328,4547.96576011522,2173.4563751962414,14840.387298150328,0.1,4547.96576011522,-65.20421763156382,33609020.0,nan,0.1,10,10,0.0,2173.4563751962414,2173.4563751962414,-65.20421763156382,2214.7593,74632.734
