MetaTest/pick-out-of-hole-v1/Iteration,TotalEnvSteps,MetaTest/pick-out-of-hole-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/pick-out-of-hole-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/pick-out-of-hole-v1/SuccessRate,MetaTest/pick-out-of-hole-v1/NumTrajs,MetaTrain/Average/Alpha,MetaTest/pick-out-of-hole-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/Average/SuccessRate,MetaTest/Average/NumTrajs,MetaTrain/Average/AlphaLoss,MetaTest/pick-out-of-hole-v1/AverageDiscountedReturn,MetaTest/pick-out-of-hole-v1/TerminationRate,MetaTest/pick-out-of-hole-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn
0,224000,2.451398713901941,2.451398713901941,-46.24328903029161,8.117611,0.0,10,nan,-36.524410468233626,-46.24328903029161,0.0,2.4404464,0.0,10,6.7238965,-41.62031567897009,0.0,-41.62031567897009,0,-41.62031567897009,-41.62031567897009,11.368297,-36.524410468233626
1,248000,0.7158589586262171,0.7158589586262171,-36.35257160183403,7.72963,0.0,10,nan,-34.11829998746254,-36.35257160183403,0.0,6.1880803,0.0,10,6.6726875,-35.41384094386261,0.0,-35.41384094386261,1,-35.41384094386261,-35.41384094386261,36.600163,-34.11829998746254
2,272000,1.0531885881979033,1.0531885881979033,-34.88466046473812,7.6766386,0.0,10,nan,-31.28399818313875,-34.88466046473812,0.0,11.1153345,0.0,10,6.588641,-33.002869691761546,0.0,-33.002869691761546,2,-33.002869691761546,-33.002869691761546,53.131695,-31.28399818313875
3,296000,0.9108951075881173,0.9108951075881173,-32.200536962909226,7.4628906,0.0,10,nan,-29.241632867616136,-32.200536962909226,0.0,17.18718,0.0,10,6.4929047,-30.64817053610833,0.0,-30.648170536108335,3,-30.648170536108335,-30.64817053610833,61.41437,-29.241632867616136
4,320000,0.3566439904915268,0.3566439904915268,-24.629119386138665,7.3760247,0.0,10,nan,-23.265146614222505,-24.629119386138665,0.0,23.480927,0.0,10,6.403079,-23.9723143080862,0.0,-23.972314308086204,4,-23.972314308086204,-23.9723143080862,62.9255,-23.265146614222505
5,344000,0.37529426681716554,0.37529426681716554,-28.53779392026455,7.3863177,0.0,10,nan,-27.307968213028055,-28.53779392026455,0.0,28.893871,0.0,10,6.3304725,-27.88217644560989,0.0,-27.882176445609893,5,-27.882176445609893,-27.88217644560989,58.473743,-27.307968213028055
6,368000,0.20737592601099125,0.20737592601099125,-28.403338762751748,7.44302,0.0,10,nan,-27.615139625112207,-28.403338762751748,0.0,33.759174,0.0,10,6.2723966,-28.06650118073954,0.0,-28.066501180739532,6,-28.066501180739532,-28.06650118073954,52.13689,-27.615139625112207
7,392000,0.1306506202459772,0.1306506202459772,-27.695227630681337,7.48316,0.0,10,nan,-27.252595583529498,-27.695227630681337,0.0,37.664467,0.0,10,6.228318,-27.435721246818407,0.0,-27.4357212468184,7,-27.4357212468184,-27.435721246818407,46.094727,-27.252595583529498
8,416000,0.0806849702672918,0.0806849702672918,-29.42923957825053,7.492258,0.0,10,nan,-29.138778288741324,-29.42923957825053,0.0,40.82312,0.0,10,6.194707,-29.26491069240571,0.0,-29.264910692405714,8,-29.264910692405714,-29.26491069240571,38.29337,-29.138778288741324
9,440000,0.08331507431983146,0.08331507431983146,-27.807418839013252,7.4944816,0.0,10,nan,-27.492777674221042,-27.807418839013252,0.0,43.31505,0.0,10,6.1705313,-27.61888622534961,0.0,-27.61888622534962,9,-27.61888622534962,-27.61888622534961,32.56645,-27.492777674221042
10,464000,0.09062161363723648,0.09062161363723648,-25.57299370859754,7.511172,0.0,10,nan,-25.209335005937497,-25.57299370859754,0.0,45.07049,0.0,10,6.153832,-25.37298858068386,0.0,-25.372988580683863,10,-25.372988580683863,-25.37298858068386,27.60858,-25.209335005937497
11,488000,0.08998621370520778,0.08998621370520778,-24.619574705314655,7.4926844,0.0,10,nan,-24.324845135112554,-24.619574705314655,0.0,45.146606,0.0,10,6.15591,-24.446391447824237,0.0,-24.446391447824233,11,-24.446391447824233,-24.446391447824237,20.901762,-24.324845135112554
12,512000,0.0873325134088959,0.0873325134088959,-25.73337251737082,7.521904,0.0,10,nan,-25.4628249557222,-25.73337251737082,0.0,45.32393,0.0,10,6.159913,-25.608748964710305,0.0,-25.608748964710305,12,-25.608748964710305,-25.608748964710305,14.145744,-25.4628249557222
13,536000,0.1917378687814926,0.1917378687814926,-25.190766725554074,7.5154443,0.0,10,nan,-24.499242063315005,-25.190766725554074,0.0,45.11335,0.0,10,6.1601048,-24.871335855506693,0.0,-24.871335855506693,13,-24.871335855506693,-24.871335855506693,7.677241,-24.499242063315005
14,560000,0.11751351619029894,0.11751351619029894,-24.403290881832685,7.5137167,0.0,10,nan,-23.939938028067115,-24.403290881832685,0.0,44.105408,0.0,10,6.1729736,-24.21117931793847,0.0,-24.21117931793847,14,-24.21117931793847,-24.21117931793847,1.0076761,-23.939938028067115
15,584000,0.08226761007563416,0.08226761007563416,-24.415696284935134,7.5966907,0.0,10,nan,-24.115546536097792,-24.415696284935134,0.0,43.380962,0.0,10,6.1783414,-24.302809779180016,0.0,-24.302809779180013,15,-24.302809779180013,-24.302809779180016,-4.364637,-24.115546536097792
16,608000,0.06198136918602389,0.06198136918602389,-24.14874516098865,7.5654416,0.0,10,nan,-23.936168092773155,-24.14874516098865,0.0,43.14895,0.0,10,6.1886854,-24.066485164573503,0.0,-24.066485164573503,16,-24.066485164573503,-24.066485164573503,-9.588028,-23.936168092773155
17,632000,0.13412986364546883,0.13412986364546883,-27.296844959329377,7.523753,0.0,10,nan,-26.840533893700606,-27.296844959329377,0.0,42.63123,0.0,10,6.185674,-27.06493179173247,0.0,-27.06493179173247,17,-27.06493179173247,-27.06493179173247,-13.946334,-26.840533893700606
18,656000,0.12043441748234293,0.12043441748234293,-24.022687447883012,7.5130725,0.0,10,nan,-23.59264242534415,-24.022687447883012,0.0,42.294655,0.0,10,6.1915264,-23.810123880044774,0.0,-23.810123880044777,18,-23.810123880044777,-23.810123880044774,-17.580336,-23.59264242534415
19,680000,0.06004629988537747,0.06004629988537747,-26.07990917669497,7.525832,0.0,10,nan,-25.88589856673645,-26.07990917669497,0.0,41.379757,0.0,10,6.201988,-25.99412659712555,0.0,-25.99412659712555,19,-25.99412659712555,-25.99412659712555,-22.51246,-25.88589856673645
20,704000,0.04904834686291301,0.04904834686291301,-25.222629546861192,7.5500097,0.0,10,nan,-25.0584173820103,-25.222629546861192,0.0,40.011673,0.0,10,6.2139764,-25.145258797391172,0.0,-25.14525879739117,20,-25.14525879739117,-25.145258797391172,-27.594683,-25.0584173820103
21,728000,0.08695266393395405,0.08695266393395405,-25.274681494083207,7.5698767,0.0,10,nan,-25.034379630803418,-25.274681494083207,0.0,39.146103,0.0,10,6.2254868,-25.15102029538677,0.0,-25.151020295386765,21,-25.151020295386765,-25.15102029538677,-31.45336,-25.034379630803418
22,752000,0.047228930904296626,0.047228930904296626,-25.162224219583507,7.573706,0.0,10,nan,-24.97387507380562,-25.162224219583507,0.0,39.030945,0.0,10,6.231217,-25.068251017487352,0.0,-25.068251017487345,22,-25.068251017487345,-25.068251017487352,-34.303787,-24.97387507380562
23,776000,0.08249683955215793,0.08249683955215793,-23.0445486158755,7.5682263,0.0,10,nan,-22.784455103662676,-23.0445486158755,0.0,38.18711,0.0,10,6.2392383,-22.912201932321814,0.0,-22.912201932321814,23,-22.912201932321814,-22.912201932321814,-37.18794,-22.784455103662676
24,800000,0.10334293942803177,0.10334293942803177,-23.285522348839063,7.5637684,0.0,10,nan,-22.98058899159489,-23.285522348839063,0.0,37.28005,0.0,10,6.2483387,-23.09126506917386,0.0,-23.091265069173858,24,-23.091265069173858,-23.09126506917386,-40.27897,-22.98058899159489
25,824000,0.20288537219472533,0.20288537219472533,-24.11353318913362,7.549148,0.0,10,nan,-23.42062816205819,-24.11353318913362,0.0,37.013523,0.0,10,6.256636,-23.65579439418099,0.0,-23.655794394180987,25,-23.655794394180987,-23.65579439418099,-43.185555,-23.42062816205819
26,848000,0.10167435355188467,0.10167435355188467,-23.173210888752884,7.5432005,0.0,10,nan,-22.820747665253055,-23.173210888752884,0.0,35.910187,0.0,10,6.263667,-22.98738512689872,0.0,-22.987385126898715,26,-22.987385126898715,-22.98738512689872,-46.330338,-22.820747665253055
27,872000,0.08298519055286009,0.08298519055286009,-23.547421364378415,7.538319,0.0,10,nan,-23.30232558254679,-23.547421364378415,0.0,35.35813,0.0,10,6.2753353,-23.438348706421912,0.0,-23.438348706421912,27,-23.438348706421912,-23.438348706421912,-49.124573,-23.30232558254679
28,896000,0.11845367873060447,0.11845367873060447,-22.69777271233554,7.548994,0.0,10,nan,-22.265057853983752,-22.69777271233554,0.0,34.377956,0.0,10,6.2806573,-22.53214596427972,0.0,-22.53214596427972,28,-22.53214596427972,-22.53214596427972,-51.8123,-22.265057853983752
29,920000,0.08808392639614274,0.08808392639614274,-24.54128543188321,7.5612807,0.0,10,nan,-24.215039464138517,-24.54128543188321,0.0,33.81771,0.0,10,6.288847,-24.3451428597481,0.0,-24.345142859748094,29,-24.345142859748094,-24.3451428597481,-54.301144,-24.215039464138517
30,944000,0.09642102313896979,0.09642102313896979,-24.15657178505623,7.5463033,0.0,10,nan,-23.868137432391592,-24.15657178505623,0.0,33.376522,0.0,10,6.293256,-24.039640966239816,0.0,-24.03964096623981,30,-24.03964096623981,-24.039640966239816,-56.061554,-23.868137432391592
31,968000,0.06675967063742319,0.06675967063742319,-23.50584807108079,7.5312476,0.0,10,nan,-23.26464287545315,-23.50584807108079,0.0,33.082874,0.0,10,6.2986317,-23.361746529728837,0.0,-23.36174652972884,31,-23.36174652972884,-23.361746529728837,-57.770817,-23.26464287545315
32,992000,0.08627475721867635,0.08627475721867635,-23.281562185235707,7.5323544,0.0,10,nan,-23.00868760954189,-23.281562185235707,0.0,32.57407,0.0,10,6.3029113,-23.13074486936095,0.0,-23.13074486936095,32,-23.13074486936095,-23.13074486936095,-59.854298,-23.00868760954189
33,1016000,0.05100244592246029,0.05100244592246029,-25.570850762023298,7.5456634,0.0,10,nan,-25.378049635124583,-25.570850762023298,0.0,32.10402,0.0,10,6.307737,-25.468302187307913,0.0,-25.468302187307902,33,-25.468302187307902,-25.468302187307913,-61.5381,-25.378049635124583
34,1040000,0.09550227247330498,0.09550227247330498,-23.98915787302328,7.5608697,0.0,10,nan,-23.658922096170965,-23.98915787302328,0.0,31.63943,0.0,10,6.3144026,-23.85448147807863,0.0,-23.854481478078633,34,-23.854481478078633,-23.85448147807863,-63.46301,-23.658922096170965
35,1064000,0.05111740783921918,0.05111740783921918,-23.46669767215859,7.5665936,0.0,10,nan,-23.27566830297594,-23.46669767215859,0.0,31.028894,0.0,10,6.322459,-23.349788117665746,0.0,-23.349788117665746,35,-23.349788117665746,-23.349788117665746,-65.33734,-23.27566830297594
36,1088000,0.05717339582528533,0.05717339582528533,-23.020380946801208,7.5773273,0.0,10,nan,-22.805158081203093,-23.020380946801208,0.0,30.735874,0.0,10,6.326971,-22.912811234191487,0.0,-22.912811234191487,36,-22.912811234191487,-22.912811234191487,-66.6284,-22.805158081203093
37,1112000,0.05608975911546987,0.05608975911546987,-23.84791599420145,7.573969,0.0,10,nan,-23.668245783002426,-23.84791599420145,0.0,30.216991,0.0,10,6.332924,-23.729891161351198,0.0,-23.72989116135119,37,-23.72989116135119,-23.729891161351198,-68.27444,-23.668245783002426
38,1136000,0.07011126697569589,0.07011126697569589,-23.769791865643928,7.559426,0.0,10,nan,-23.54715538399055,-23.769791865643928,0.0,29.892548,0.0,10,6.3357177,-23.662186725648574,0.0,-23.662186725648574,38,-23.662186725648574,-23.662186725648574,-69.6967,-23.54715538399055
39,1160000,0.04350610302913354,0.04350610302913354,-23.742280078496897,7.5579433,0.0,10,nan,-23.59927262844727,-23.742280078496897,0.0,29.523182,0.0,10,6.345131,-23.687833366550564,0.0,-23.687833366550567,39,-23.687833366550567,-23.687833366550564,-71.20143,-23.59927262844727
40,1184000,0.03736528342385912,0.03736528342385912,-23.113909916246833,7.5455213,0.0,10,nan,-22.97662376250213,-23.113909916246833,0.0,28.996271,0.0,10,6.345165,-23.041192321365664,0.0,-23.041192321365656,40,-23.041192321365656,-23.041192321365664,-72.55611,-22.97662376250213
41,1208000,0.038868290409781535,0.038868290409781535,-23.08355525496802,7.5565557,0.0,10,nan,-22.938022363761803,-23.08355525496802,0.0,28.764372,0.0,10,6.3508906,-23.022328945068345,0.0,-23.022328945068345,41,-23.022328945068345,-23.022328945068345,-74.05667,-22.938022363761803
42,1232000,0.06887362906146026,0.06887362906146026,-23.281554093693607,7.569355,0.0,10,nan,-23.053579203187567,-23.281554093693607,0.0,28.319962,0.0,10,6.355889,-23.18156798078381,0.0,-23.181567980783818,42,-23.181567980783818,-23.18156798078381,-75.42865,-23.053579203187567
43,1256000,0.057167158015201266,0.057167158015201266,-24.480232425069364,7.5628853,0.0,10,nan,-24.28983543038197,-24.480232425069364,0.0,28.190079,0.0,10,6.3575177,-24.37685535924072,0.0,-24.37685535924072,43,-24.37685535924072,-24.37685535924072,-76.598076,-24.28983543038197
44,1280000,0.10796777296786467,0.10796777296786467,-23.642319873196033,7.563156,0.0,10,nan,-23.275729057985984,-23.642319873196033,0.0,27.637266,0.0,10,6.3621836,-23.457288035220166,0.0,-23.45728803522016,44,-23.45728803522016,-23.457288035220166,-78.13617,-23.275729057985984
45,1304000,0.04347825957356331,0.04347825957356331,-22.961957926950117,7.570206,0.0,10,nan,-22.82255116419555,-22.961957926950117,0.0,27.242188,0.0,10,6.3677225,-22.889434228966202,0.0,-22.8894342289662,45,-22.8894342289662,-22.889434228966202,-79.51126,-22.82255116419555
46,1328000,0.02711031862497595,0.02711031862497595,-24.140817897962386,7.5660386,0.0,10,nan,-24.045919834776758,-24.140817897962386,0.0,26.963312,0.0,10,6.3693566,-24.09911532910627,0.0,-24.09911532910627,46,-24.09911532910627,-24.09911532910627,-80.60506,-24.045919834776758
47,1352000,0.04936287698040918,0.04936287698040918,-23.79924223990789,7.5611086,0.0,10,nan,-23.657923446084002,-23.79924223990789,0.0,26.782167,0.0,10,6.374264,-23.714317859725945,0.0,-23.71431785972595,47,-23.71431785972595,-23.714317859725945,-81.860146,-23.657923446084002
48,1376000,0.09670319098417307,0.09670319098417307,-23.89487134446407,7.5661025,0.0,10,nan,-23.545118054417376,-23.89487134446407,0.0,26.37575,0.0,10,6.3787756,-23.6560837769945,0.0,-23.6560837769945,48,-23.6560837769945,-23.6560837769945,-83.02666,-23.545118054417376
49,1400000,0.04077904674026789,0.04077904674026789,-22.573728804811584,7.5654817,0.0,10,nan,-22.441499749241352,-22.573728804811584,0.0,25.977959,0.0,10,6.384162,-22.49307427135229,0.0,-22.493074271352295,49,-22.493074271352295,-22.49307427135229,-84.37501,-22.441499749241352
50,1424000,0.03763042811309349,0.03763042811309349,-22.525705484836,7.5521054,0.0,10,nan,-22.388497279554787,-22.525705484836,0.0,25.699625,0.0,10,6.385401,-22.440412762955624,0.0,-22.440412762955628,50,-22.440412762955628,-22.440412762955624,-85.599266,-22.388497279554787
51,1448000,0.07301717374058347,0.07301717374058347,-24.219248109916375,7.541051,0.0,10,nan,-23.95318108085805,-24.219248109916375,0.0,25.516066,0.0,10,6.3912573,-24.087888665255527,0.0,-24.087888665255527,51,-24.087888665255527,-24.087888665255527,-86.72869,-23.95318108085805
52,1472000,0.09418742510534062,0.09418742510534062,-22.829717061521848,7.5712724,0.0,10,nan,-22.513318830440493,-22.829717061521848,0.0,25.190367,0.0,10,6.3941355,-22.62899709774139,0.0,-22.62899709774139,52,-22.62899709774139,-22.62899709774139,-87.64745,-22.513318830440493
53,1496000,0.059292540571029374,0.059292540571029374,-22.48405877499054,7.5284567,0.0,10,nan,-22.286564680121547,-22.48405877499054,0.0,24.989086,0.0,10,6.3976207,-22.37901386303688,0.0,-22.379013863036885,53,-22.379013863036885,-22.37901386303688,-88.66878,-22.286564680121547
54,1520000,0.07354315486390954,0.07354315486390954,-23.39273741250469,7.5305567,0.0,10,nan,-23.16827678786633,-23.39273741250469,0.0,24.624214,0.0,10,6.400197,-23.299640847131666,0.0,-23.299640847131673,54,-23.299640847131673,-23.299640847131666,-89.74527,-23.16827678786633
55,1544000,0.03341019867444846,0.03341019867444846,-23.645298011452596,7.53952,0.0,10,nan,-23.549103454007746,-23.645298011452596,0.0,24.480124,0.0,10,6.403202,-23.590202388964496,0.0,-23.590202388964492,55,-23.590202388964492,-23.590202388964496,-90.56446,-23.549103454007746
56,1568000,0.04117678063501872,0.04117678063501872,-23.863534677774485,7.53699,0.0,10,nan,-23.717945311454233,-23.863534677774485,0.0,24.318266,0.0,10,6.405334,-23.79865412914227,0.0,-23.79865412914227,56,-23.79865412914227,-23.79865412914227,-91.3938,-23.717945311454233
57,1592000,0.06255676318813483,0.06255676318813483,-23.836318771041178,7.541423,0.0,10,nan,-23.628461379778606,-23.836318771041178,0.0,23.902775,0.0,10,6.4065385,-23.696404136780973,0.0,-23.696404136780963,57,-23.696404136780963,-23.696404136780973,-92.45097,-23.628461379778606
58,1616000,0.0756658498350164,0.0756658498350164,-23.304924537435042,7.5625033,0.0,10,nan,-23.029383047685332,-23.304924537435042,0.0,23.544107,0.0,10,6.4118133,-23.190393376778754,0.0,-23.190393376778754,58,-23.190393376778754,-23.190393376778754,-93.38132,-23.029383047685332
59,1640000,0.09084731383615614,0.09084731383615614,-23.68631302612537,7.5460596,0.0,10,nan,-23.404246349767355,-23.68631302612537,0.0,23.558464,0.0,10,6.4151015,-23.554201031168244,0.0,-23.55420103116824,59,-23.55420103116824,-23.554201031168244,-94.136955,-23.404246349767355
60,1664000,0.04724705759903489,0.04724705759903489,-23.061976164161194,7.5315566,0.0,10,nan,-22.873360741421934,-23.061976164161194,0.0,23.151114,0.0,10,6.4163713,-22.982502091199482,0.0,-22.982502091199482,60,-22.982502091199482,-22.982502091199482,-95.03325,-22.873360741421934
61,1688000,0.12051939199825913,0.12051939199825913,-22.70156985132763,7.5807495,0.0,10,nan,-22.222044606807412,-22.70156985132763,0.0,22.944738,0.0,10,6.4192324,-22.49021379978631,0.0,-22.490213799786314,61,-22.490213799786314,-22.49021379978631,-95.8627,-22.222044606807412
62,1712000,0.03124267272883446,0.03124267272883446,-23.47939481643518,7.5549784,0.0,10,nan,-23.381904310099333,-23.47939481643518,0.0,22.76825,0.0,10,6.4221926,-23.4390462066667,0.0,-23.439046206666696,62,-23.439046206666696,-23.4390462066667,-96.659065,-23.381904310099333
63,1736000,0.1283267809911202,0.1283267809911202,-22.710431126170718,7.5440373,0.0,10,nan,-22.265573064822444,-22.710431126170718,0.0,22.418037,0.0,10,6.4253917,-22.482092521947948,0.0,-22.482092521947955,63,-22.482092521947955,-22.482092521947948,-97.58055,-22.265573064822444
64,1760000,0.08480053628434192,0.08480053628434192,-22.85070446564902,7.5408993,0.0,10,nan,-22.58971566026748,-22.85070446564902,0.0,22.311716,0.0,10,6.427467,-22.70970919975873,0.0,-22.70970919975873,64,-22.70970919975873,-22.70970919975873,-98.407455,-22.58971566026748
