MetaTest/plate-slide-v1/AverageDiscountedReturn,plate-slide-v1/StdReturn,MetaTest/Average/Iteration,policy/LossAfter,Average/NumEpisodes,Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,LinearFeatureBaseline/ExplainedVariance,MetaTest/plate-slide-v1/AverageReturn,plate-slide-v1/TerminationRate,plate-slide-v1/AverageDiscountedReturn,Average/MinReturn,MetaTest/Average/MinReturn,plate-slide-v1/MaxReturn,MetaTest/plate-slide-v1/SuccessRate,Average/MaxReturn,plate-slide-v1/MinReturn,MetaTest/Average/TerminationRate,Average/SuccessRate,policy/KLBefore,TotalEnvSteps,Average/Iteration,policy/KL,plate-slide-v1/NumEpisodes,policy/Entropy,policy/dLoss,Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-v1/NumEpisodes,Average/TerminationRate,policy/LossBefore,Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/plate-slide-v1/StdReturn,MetaTest/plate-slide-v1/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,MetaTest/plate-slide-v1/MaxReturn,plate-slide-v1/Iteration,MetaTest/plate-slide-v1/TerminationRate,MetaTest/Average/AverageReturn,plate-slide-v1/AverageReturn,MetaTest/plate-slide-v1/MinReturn,plate-slide-v1/SuccessRate
-55.88836474973228,10.97299368994064,0,-0.0433578,100,-20.149867693715112,10,0.39824800816396155,-55.88836474973228,0.0,-20.149867693715112,-76.56696222320818,-71.63233747650725,-28.936960315582255,0.0,-28.936960315582255,-76.56696222320818,0.0,0.0,0.0,20000,0,0.013408806,100,5.6877007,0.03462762,10.97299368994064,-55.88836474973228,10,0.0,-0.0087301815,-54.28872184731062,0.0,9.289037822103198,0,-44.701915769931134,9.289037822103198,-44.701915769931134,0,0.0,-55.88836474973228,-54.28872184731062,-71.63233747650725,0.0
,9.970158691794401,,-0.03541956,100,-15.265421882215072,,0.470442735911328,,0.0,-15.265421882215072,-74.50689640272832,,-10.890939087204735,,-10.890939087204735,-74.50689640272832,,0.0,0.0,40000,1,0.02201218,100,5.6864424,0.02586481,9.970158691794401,,,0.0,-0.009554751,-38.799279106867324,,,,,,,1,,,-38.799279106867324,,0.0
,127.49086698774859,,-0.20885962,100,3.4377237598816013,,0.09049923252238168,,0.0,3.4377237598816013,-60.081476215752254,,956.7727320539916,,956.7727320539916,-60.081476215752254,,0.0,0.0,60000,2,0.00839502,100,5.693972,0.17574316,127.49086698774859,,,0.0,-0.033116456,11.957322281465176,,,,,,,2,,,11.957322281465176,,0.0
,306.26011159728984,,-0.24669531,100,37.11477963229661,,0.11599111605862211,,0.0,37.11477963229661,-53.72559240003207,,1704.4754278349405,,1704.4754278349405,-53.72559240003207,,0.0,0.0,80000,3,0.011279737,100,5.6850486,0.42601064,306.26011159728984,,,0.0,0.17931533,103.21778262988205,,,,,,,3,,,103.21778262988205,,0.0
,859.449802628259,,-0.5026746,100,129.49339534822172,,0.10061911689788217,,0.0,129.49339534822172,-54.31190398591222,,4441.681041398952,,4441.681041398952,-54.31190398591222,,0.0,0.0,100000,4,0.0057128225,100,5.661901,0.8282459,859.449802628259,,,0.0,0.3255713,368.1555576711308,,,,,,,4,,,368.1555576711308,,0.0
,1309.5962317063281,,-0.65765625,100,182.5499596869513,,0.18130952292806835,,0.0,182.5499596869513,-50.87078580785022,,7096.193800990603,,7096.193800990603,-50.87078580785022,,0.01,0.0,120000,5,0.0046402854,100,5.6285477,1.4194082,1309.5962317063281,,,0.0,0.76175195,464.27019469593347,,,,,,,5,,,464.27019469593347,,0.01
,1516.3585273014974,,-0.90053517,100,155.98101179148335,,0.10753138651731753,,0.0,155.98101179148335,-50.28602776886761,,11608.671803989646,,11608.671803989646,-50.28602776886761,,0.01,0.0,140000,6,0.006172546,100,5.5983963,1.437068,1516.3585273014974,,,0.0,0.5365328,449.20071518587065,,,,,,,6,,,449.20071518587065,,0.01
,1433.5190793610852,,-1.588839,100,262.21362883531,,0.13552468487834235,,0.0,262.21362883531,-53.801494718649394,,7923.415002055228,,7923.415002055228,-53.801494718649394,,0.0,0.0,160000,7,0.0056480193,100,5.5770135,1.2654117,1433.5190793610852,,,0.0,-0.32342735,687.7873278712452,,,,,,,7,,,687.7873278712452,,0.0
,1764.1014626665992,,-2.3247492,100,311.51929283320527,,0.11602086271087597,,0.0,311.51929283320527,-52.41004202946421,,9590.27458049632,,9590.27458049632,-52.41004202946421,,0.0,0.0,180000,8,0.0041091074,100,5.5720162,1.5829844,1764.1014626665992,,,0.0,-0.74176484,828.6408998037255,,,,,,,8,,,828.6408998037255,,0.0
,3070.1221856883417,,-1.8804344,100,547.2439260504674,,0.2124088089819245,,0.0,547.2439260504674,-56.594898757047964,,18647.890301591568,,18647.890301591568,-56.594898757047964,,0.02,0.0,200000,9,0.0054506278,100,5.5445933,3.133636,3070.1221856883417,,,0.0,1.2532016,1570.252053714666,,,,,,,9,,,1570.252053714666,,0.02
1422.860224914219,2261.2338918125215,1,-4.6026936,100,513.0516644977099,10,0.19504862655523003,1422.8602249142195,0.0,513.0516644977099,-46.56158801807679,-39.144338939945754,13729.62076239257,0.0,13729.62076239257,-46.56158801807679,0.0,0.02,0.0,220000,10,0.0038943298,100,5.537177,2.0706654,2261.2338918125215,1422.860224914219,10,0.0,-2.5320282,1196.895064902709,0.0,1934.9650395696706,1,5543.756887903996,1934.9650395696706,5543.756887903996,10,0.0,1422.8602249142195,1196.895064902709,-39.144338939945754,0.02
,3238.3821314315474,,-3.9104593,100,576.2258464775352,,0.19131796931305345,,0.0,576.2258464775352,-44.39391015790074,,19827.57519470583,,19827.57519470583,-44.39391015790074,,0.02,0.0,240000,11,0.00479198,100,5.519528,3.0062218,3238.3821314315474,,,0.0,-0.9042375,1557.594866808134,,,,,,,11,,,1557.594866808134,,0.02
,2447.322340908856,,-5.8277025,100,620.8636443272807,,0.12189471006090913,,0.0,620.8636443272807,-51.30647304925079,,10500.097363873305,,10500.097363873305,-51.30647304925079,,0.01,0.0,260000,12,0.0046153152,100,5.503319,1.9869912,2447.322340908856,,,0.0,-3.8407114,1565.3058722003127,,,,,,,12,,,1565.3058722003127,,0.01
,3049.321133214389,,-3.590025,100,529.8689659719176,,0.16686479211765548,,0.0,529.8689659719176,-54.30244325032854,,19048.373616377314,,19048.373616377314,-54.30244325032854,,0.01,0.0,280000,13,0.0052436707,100,5.5044913,2.8661594,3049.321133214389,,,0.0,-0.7238656,1473.929185552796,,,,,,,13,,,1473.929185552796,,0.01
,3334.7204746909406,,-2.435961,100,785.6320966316943,,0.11355541644144596,,0.0,785.6320966316943,-49.727119255712815,,20727.66264602324,,20727.66264602324,-49.727119255712815,,0.02,0.0,300000,14,0.0072706505,100,5.505416,2.9076002,3334.7204746909406,,,0.0,0.47163907,1875.8293271278412,,,,,,,14,,,1875.8293271278412,,0.02
,4580.511751027697,,-10.864226,100,1135.180838525451,,0.17245595785101264,,0.0,1135.180838525451,-55.99178111388444,,20220.981185436678,,20220.981185436678,-55.99178111388444,,0.01,0.0,320000,15,0.0071839495,100,5.5105515,4.747941,4580.511751027697,,,0.0,-6.1162853,2744.447584083069,,,,,,,15,,,2744.447584083069,,0.01
,3951.4133470632387,,-1.9716859,100,820.1460375509158,,0.18873196445724516,,0.0,820.1460375509158,-53.06113239720276,,23802.996505982173,,23802.996505982173,-53.06113239720276,,0.03,0.0,340000,16,0.005651094,100,5.495519,2.9180686,3951.4133470632387,,,0.0,0.9463828,2294.3963494245963,,,,,,,16,,,2294.3963494245963,,0.03
,4569.809041440413,,-3.7858765,100,1063.6183469509638,,0.21546716914519293,,0.0,1063.6183469509638,-48.86812869739494,,20351.18880678685,,20351.18880678685,-48.86812869739494,,0.02,0.0,360000,17,0.005666531,100,5.4528203,4.570306,4569.809041440413,,,0.0,0.7844293,2857.1685074722063,,,,,,,17,,,2857.1685074722063,,0.02
,5456.856694731038,,-0.2406125,100,1224.4698004397205,,0.09980171367965662,,0.0,1224.4698004397205,-58.443017114155246,,32526.663992429574,,32526.663992429574,-58.443017114155246,,0.03,0.0,380000,18,0.008455342,100,5.437518,4.4558406,5456.856694731038,,,0.0,4.215228,3301.882922647071,,,,,,,18,,,3301.882922647071,,0.03
,6089.222630357375,,-11.055835,100,1518.704420920432,,0.17099556159819562,,0.0,1518.704420920432,-67.92384440492292,,29070.886377460793,,29070.886377460793,-67.92384440492292,,0.02,0.0,400000,19,0.007476662,100,5.4097285,6.3346643,6089.222630357375,,,0.0,-4.7211704,3971.8599019417866,,,,,,,19,,,3971.8599019417866,,0.02
1635.696328585622,9779.739860008889,2,-13.141315,100,2217.1727421242285,10,0.1568888487066885,1635.696328585622,0.0,2217.1727421242285,-71.83091541280871,-42.931985103742484,72064.79845805015,0.0,72064.79845805015,-71.83091541280871,0.0,0.02,0.0,420000,20,0.007643113,100,5.3825836,8.694987,9779.739860008889,1635.696328585622,10,0.0,-4.446328,6180.603768704588,0.0,2339.2201533885086,2,7287.739598518239,2339.2201533885086,7287.739598518239,20,0.0,1635.696328585622,6180.603768704588,-42.931985103742484,0.02
,4952.267320398838,,-6.373704,100,1671.5171777175624,,0.15874588907391862,,0.0,1671.5171777175624,-66.67116310300182,,18840.502069825783,,18840.502069825783,-66.67116310300182,,0.04,0.0,440000,21,0.006152633,100,5.368322,3.7514048,4952.267320398838,,,0.0,-2.6222992,4100.924873193662,,,,,,,21,,,4100.924873193662,,0.04
,10610.808674473836,,-10.4019,100,3136.133442434004,,0.18801409996802698,,0.0,3136.133442434004,-68.15378815263199,,43230.92144804628,,43230.92144804628,-68.15378815263199,,0.05,0.0,460000,22,0.007859962,100,5.3341627,10.924894,10610.808674473836,,,0.0,0.52299374,9067.197673739623,,,,,,,22,,,9067.197673739623,,0.05
,12566.144143090958,,-8.185856,100,3666.4599951388127,,0.1838786596478018,,0.0,3666.4599951388127,-78.8538468055589,,76004.71777446261,,76004.71777446261,-78.8538468055589,,0.03,0.0,480000,23,0.009704812,100,5.3231807,13.299568,12566.144143090958,,,0.0,5.1137123,10375.278769157325,,,,,,,23,,,10375.278769157325,,0.03
,7958.778391939164,,-2.6544375,100,2463.286761339648,,0.25130687861435375,,0.0,2463.286761339648,-55.80195522529026,,37152.64990949775,,37152.64990949775,-55.80195522529026,,0.06,0.0,500000,24,0.0052965265,100,5.301553,6.738894,7958.778391939164,,,0.0,4.0844564,7341.349820346396,,,,,,,24,,,7341.349820346396,,0.06
,12609.78436020703,,-10.182238,100,4310.877772293886,,0.1669103303284034,,0.0,4310.877772293886,-77.34189796495812,,58828.37078449274,,58828.37078449274,-77.34189796495812,,0.03,0.0,520000,25,0.0065285894,100,5.25251,13.253382,12609.78436020703,,,0.0,3.0711439,11760.729259405973,,,,,,,25,,,11760.729259405973,,0.03
,17124.331095989273,,-2.5119312,100,5291.798746376404,,0.24504672352212697,,0.0,5291.798746376404,-42.27303300518248,,79842.81837912208,,79842.81837912208,-42.27303300518248,,0.05,0.0,540000,26,0.008506523,100,5.23524,17.900618,17124.331095989273,,,0.0,15.388687,14972.844784320774,,,,,,,26,,,14972.844784320774,,0.05
,13174.617043607133,,-20.426813,100,4721.242277103691,,0.28732625875786655,,0.0,4721.242277103691,-61.98780697550573,,43994.93365505824,,43994.93365505824,-61.98780697550573,,0.03,0.0,560000,27,0.006083671,100,5.2086935,12.673213,13174.617043607133,,,0.0,-7.7536,14355.068590747367,,,,,,,27,,,14355.068590747367,,0.03
,16731.190445104032,,-24.948662,100,5628.245491081357,,0.24273403657026438,,0.0,5628.245491081357,14.055145364900293,,71627.69777486393,,71627.69777486393,14.055145364900293,,0.03,0.0,580000,28,0.007287042,100,5.170649,19.747124,16731.190445104032,,,0.0,-5.2015376,15493.608385917472,,,,,,,28,,,15493.608385917472,,0.03
,16345.901107232812,,-2.8914156,100,5915.160660136653,,0.2401140044054192,,0.0,5915.160660136653,-60.8789036897194,,72613.47380764224,,72613.47380764224,-60.8789036897194,,0.04,0.0,600000,29,0.0057849367,100,5.1681967,15.47325,16345.901107232812,,,0.0,12.581835,16758.607089192155,,,,,,,29,,,16758.607089192155,,0.04
16872.308187052582,15908.163556749585,3,-12.138382,100,5872.2134855905715,10,0.33187523581987344,16872.30818705257,0.0,5872.2134855905715,-62.77731700047059,-13.149121018244848,51201.454881238846,0.0,51201.454881238846,-62.77731700047059,0.0,0.02,0.0,620000,30,0.0060601686,100,5.1489644,15.675182,15908.163556749585,16872.308187052582,10,0.0,3.5368,16832.57302416651,0.0,14966.521347156655,3,54922.61087148742,14966.521347156655,54922.61087148742,30,0.0,16872.30818705257,16832.57302416651,-13.149121018244848,0.02
,15302.218827823393,,-18.482374,100,5371.517610985227,,0.21633364460771465,,0.0,5371.517610985227,-48.86023473557583,,70264.07670550993,,70264.07670550993,-48.86023473557583,,0.0,0.0,640000,31,0.0061324583,100,5.12883,13.272612,15302.218827823393,,,0.0,-5.2097626,15309.465709563758,,,,,,,31,,,15309.465709563758,,0.0
,20903.655591034156,,-27.855732,100,6959.229734831646,,0.3042477465584379,,0.0,6959.229734831646,-75.33789916862567,,74666.56557330086,,74666.56557330086,-75.33789916862567,,0.04,0.0,660000,32,0.0048346817,100,5.1184893,18.147243,20903.655591034156,,,0.0,-9.7084875,20413.43358214767,,,,,,,32,,,20413.43358214767,,0.04
,16270.08987595135,,3.9624,100,7022.729219878501,,0.2687414839149389,,0.0,7022.729219878501,-75.1322725336748,,63948.48176830022,,63948.48176830022,-75.1322725336748,,0.04,0.0,680000,33,0.0067794374,100,5.089122,17.750843,16270.08987595135,,,0.0,21.713243,21177.278402062155,,,,,,,33,,,21177.278402062155,,0.04
,22272.142010318083,,-12.927456,100,9350.529382576158,,0.29362151459667496,,0.0,9350.529382576158,-29.707994664346504,,82065.29196176847,,82065.29196176847,-29.707994664346504,,0.01,0.0,700000,34,0.0063565965,100,5.0621214,18.974718,22272.142010318083,,,0.0,6.0472627,26510.66167569268,,,,,,,34,,,26510.66167569268,,0.01
,14171.929403388893,,-19.722574,100,4802.38441168081,,0.21186155584026922,,0.0,4802.38441168081,-21.233311409135233,,58141.152260188246,,58141.152260188246,-21.233311409135233,,0.05,0.0,720000,35,0.007441916,100,5.054451,15.310299,14171.929403388893,,,0.0,-4.412275,15162.605060062977,,,,,,,35,,,15162.605060062977,,0.05
,21593.544027886397,,-15.015656,100,8417.957737148283,,0.3126447218355841,,0.0,8417.957737148283,-44.06660272903682,,86050.55059984229,,86050.55059984229,-44.06660272903682,,0.02,0.0,740000,36,0.005663953,100,5.04259,22.959337,21593.544027886397,,,0.0,7.9436812,24966.977711526575,,,,,,,36,,,24966.977711526575,,0.02
,20496.662506503813,,-6.3867373,100,8461.145290854223,,0.26405239832412564,,0.0,8461.145290854223,-53.16872370681054,,81966.22207493325,,81966.22207493325,-53.16872370681054,,0.03,0.0,760000,37,0.0074544824,100,5.0470815,19.552137,20496.662506503813,,,0.0,13.1654,25346.640147543458,,,,,,,37,,,25346.640147543458,,0.03
,18591.92714029041,,-15.8404875,100,7819.4273110878585,,0.18428723136130043,,0.0,7819.4273110878585,-81.92119064497555,,70643.22303902931,,70643.22303902931,-81.92119064497555,,0.06,0.0,780000,38,0.005416061,100,5.0382395,18.408924,18591.92714029041,,,0.0,2.5684376,22301.616398046925,,,,,,,38,,,22301.616398046925,,0.06
,20245.366584184027,,-30.510769,100,8058.419955523767,,0.2514910663620399,,0.0,8058.419955523767,-27.636093808565235,,69748.77225098894,,69748.77225098894,-27.636093808565235,,0.0,0.0,800000,39,0.0072152046,100,4.995956,22.503862,20245.366584184027,,,0.0,-8.0069065,23451.652334920047,,,,,,,39,,,23451.652334920047,,0.0
28094.18990764474,18064.010392303942,4,-6.006656,100,6870.333939523237,10,0.25748692141449026,28094.189907644737,0.0,6870.333939523237,-43.46646172993757,-37.006362125170426,66992.30678210159,0.0,66992.30678210159,-43.46646172993757,0.0,0.05,0.0,820000,40,0.0053505194,100,4.9556456,17.15163,18064.010392303942,28094.18990764474,10,0.0,11.144975,21085.53123816819,0.0,15355.238661716392,4,51927.05582027122,15355.238661716392,51927.05582027122,40,0.0,28094.189907644737,21085.53123816819,-37.006362125170426,0.05
,21113.541270008114,,-10.949925,100,9954.78289350576,,0.26094000451223676,,0.0,9954.78289350576,-74.1295805189242,,81238.08149782362,,81238.08149782362,-74.1295805189242,,0.01,0.0,840000,41,0.0076460023,100,4.928554,17.243675,21113.541270008114,,,0.0,6.29375,30114.124500544312,,,,,,,41,,,30114.124500544312,,0.01
,23062.07066143083,,-18.652426,100,9857.426953435226,,0.33561507019977455,,0.0,9857.426953435226,-59.77086700266585,,79831.1732189341,,79831.1732189341,-59.77086700266585,,0.03,0.0,860000,42,0.005759117,100,4.9003363,20.508076,23062.07066143083,,,0.0,1.85565,28904.64917251996,,,,,,,42,,,28904.64917251996,,0.03
,20875.585589575454,,-9.767875,100,9403.360300588287,,0.27176304071163804,,0.0,9403.360300588287,-62.66865515281582,,84400.79915491011,,84400.79915491011,-62.66865515281582,,0.02,0.0,880000,43,0.0067854063,100,4.880668,15.681324,20875.585589575454,,,0.0,5.91345,26643.012964252634,,,,,,,43,,,26643.012964252634,,0.02
,22274.46289267743,,-7.3623295,100,9308.74857809954,,0.38126291658349154,,0.0,9308.74857809954,-74.24513239807469,,110081.57786154684,,110081.57786154684,-74.24513239807469,,0.04,0.0,900000,44,0.0054954467,100,4.8680596,18.388458,22274.46289267743,,,0.0,11.026128,26654.054364296062,,,,,,,44,,,26654.054364296062,,0.04
,19490.480323594766,,-2.1231375,100,8917.614023709633,,0.24109805378547466,,0.0,8917.614023709633,-36.78042528954171,,83917.56250923318,,83917.56250923318,-36.78042528954171,,0.05,0.0,920000,45,0.006101332,100,4.836684,16.887482,19490.480323594766,,,0.0,14.764344,25511.773728028344,,,,,,,45,,,25511.773728028344,,0.05
,20140.28931890543,,-12.136474,100,8001.925799118468,,0.2476123105512007,,0.0,8001.925799118468,-23.36218835555605,,69650.71556971066,,69650.71556971066,-23.36218835555605,,0.01,0.0,940000,46,0.0053187367,100,4.806882,14.68341,20140.28931890543,,,0.0,2.546936,22326.359043609686,,,,,,,46,,,22326.359043609686,,0.01
,21332.289383188854,,-11.85345,100,8593.677963367261,,0.31987643681581424,,0.0,8593.677963367261,-67.18603664716993,,80603.1804167223,,80603.1804167223,-67.18603664716993,,0.0,0.0,960000,47,0.006357962,100,4.7916727,17.558012,21332.289383188854,,,0.0,5.7045627,22534.33542221156,,,,,,,47,,,22534.33542221156,,0.0
